query_id,query,source,rank,doc_id,chunk_id,score_vetorial,qrel_score,julgado,relevante
81,recomposição reajuste,expression from LLM question,1,42820,42820_3,0.8559904098510742,3.0,True,True
82,retenção de pagamentos perda da regularidade fiscal,expression from LLM question,1,18386,18386_0,0.8725747466087341,2.0,True,True
84,vínculo trabalhista ou societário pré-existente competitividade das licitantes,expression from LLM question,1,26874,26874_0,0.8693762421607971,2.0,True,True
85,técnica e preço profissionais quadro permanente,expression from LLM question,4,22810,22810_0,0.8518315553665161,3.0,True,True
86,erro material desclassificação da proposta,expression from LLM question,2,18264,18264_0,0.8808800578117371,2.0,True,True
87,vedação à inclusão documento habilitação diligência,expression from LLM question,7,113541,113541_0,0.8547723889350891,3.0,True,True
88,exigência comprovação de quantitativos mínimos características semelhantes,expression from LLM question,2,22780,22780_3,0.8754338026046753,3.0,True,True
89,extensão sanção de impedimento de licitar e contratar,expression from LLM question,5,68667,68667_0,0.8651220202445984,3.0,True,True
90,habilitação técnico-operacional obras e serviços de engenharia,expression from LLM question,1,22773,22773_0,0.8548852205276489,3.0,True,True
91,controle adesão,expression from LLM question,5,28965,28965_0,0.8367278575897217,1.0,True,True
92,alvará de funcionamento habilitação jurídica,expression from LLM question,1,40328,40328_1,0.8711562156677246,3.0,True,True
93,acumulação de cargo secretário municipal professor,expression from LLM question,1,20797,20797_3,0.877719521522522,3.0,True,True
94,prescrição da pretensão punitiva julgamento das contas,expression from LLM question,2,26483,26483_0,0.8961489200592041,3.0,True,True
95,Banco de Preços em Saúde referência medicamentos,expression from LLM question,1,61975,61975_1,0.8768903017044067,3.0,True,True
97,licitação princípio da legalidade estrita afastado,expression from LLM question,1,452,452_0,0.8643375039100647,3.0,True,True
98,renovação de contrato serviços de natureza continuada pesquisa de preços,expression from LLM question,1,31625,31625_0,0.8776795268058777,1.0,True,True
99,contratações de software cartas de exclusividade,expression from LLM question,1,64928,64928_0,0.8765700459480286,3.0,True,True
100,assistência médica a servidores,expression from LLM question,1,39042,39042_0,0.8648200035095215,2.0,True,True
101,Qual é a modalidade de licitação adequada para a concessão remunerada de uso de bens públicos?,LLM,3,17360,17360_0,0.8700693845748901,2.0,True,True
102,A citação é considerada válida após o falecimento do responsável se a defesa já foi apresentada?,LLM,1,139391,139391_0,0.8727174997329712,3.0,True,True
103,A prestação de garantia contratual é permitida juntamente com a exigência de patrimônio líquido mínimo?,LLM,1,22789,22789_0,0.8858801126480103,3.0,True,True
104,A exigência de garantia de participação é permitida juntamente com a exigência de patrimônio líquido mínimo?,LLM,3,26373,26373_0,0.880668044090271,3.0,True,True
105,Quais são as consequências para os responsáveis que realizam despesas sem cobertura contratual?,LLM,5,35189,35189_0,0.8467621803283691,1.0,True,True
106,O pregão é adequado para concessões de uso de áreas comerciais em aeroportos?,LLM,1,18865,18865_0,0.8860524892807007,3.0,True,True
107,Quais normas devem ser observadas na cessão das áreas comerciais de centrais públicas de abastecimento de gêneros alimentícios?,LLM,1,5714,5714_0,0.867563009262085,3.0,True,True
109,"É permitido a extrapolar os limites estabelecidos no art. 65, §§ 1º e 2º, da Lei 8.666/1993 para alterações consensuais qualitativas de contratos de obras e serviços?",LLM,2,17090,17090_1,0.8692547082901001,3.0,True,True
110,Qual a responsabilidade do gestor sucessor quando o gestor antecessor omitiu o dever de prestar contas?,LLM,4,111444,111444_6,0.8749604225158691,3.0,True,True
111,Qual é a modalidade de licitação utilizada para contratar serviços técnicos necessários à estruturação de projeto de parceria público-privada relativo a infraestrutura de rede de iluminação pública?,LLM,1,44162,44162_0,0.8742682337760925,3.0,True,True
112,O que acontece se não houver compatibilidade entre o objeto do certame e as atividades previstas no contrato social da empresa licitante?,LLM,3,13694,13694_4,0.856243371963501,3.0,True,True
113,Quem é responsável pela gestão dos recursos do Fundo Municipal de Saúde?,LLM,2,75014,75014_3,0.8732927441596985,2.0,True,True
114,É obrigatória pesquisa de mercado na elaboração do orçamento-base da licitação?,LLM,1,31629,31629_0,0.8828449249267578,3.0,True,True
115,A pesquisa de preços correntes no mercado é obrigatória em licitações?,LLM,1,21864,21864_0,0.8898762464523315,3.0,True,True
116,O que fazer para verificar a vantajosidade da adesão à ata?,LLM,1,20500,20500_1,0.8526811599731445,3.0,True,True
117,É permitida a compensação entre acréscimos e supressões nos contratos administrativos?,LLM,4,10089,10089_0,0.8730926513671875,3.0,True,True
118,Quais são as condições para que o restabelecimento total ou parcial de quantitativo de item anteriormente suprimido por aditivo contratual não configure compensação vedada pela jurisprudência do TCU?,LLM,1,104455,104455_0,0.8986009359359741,3.0,True,True
119,A Administração pode indicar preferência por marcas em licitações para aquisição de cartuchos de tinta?,LLM,1,34132,34132_1,0.8783005475997925,3.0,True,True
120,O TCU é responsável pela fiscalização das ações e serviços de saúde pagos com recursos repassados pela União no âmbito do Sistema Único de Saúde?,LLM,1,17012,17012_6,0.8654376268386841,3.0,True,True
121,O que deve ser feito se não for possível obter preços referenciais nos sistemas oficiais para estimativa de custos em processos licitatórios?,LLM,1,22170,22170_0,0.8708810806274414,3.0,True,True
122,É necessária ponderação entre a pontuação técnica e a de preço em uma licitação do tipo técnica e preço?,LLM,1,20970,20970_1,0.890100359916687,3.0,True,True
123,Como a pontuação desarrazoada pode limitar a competitividade nas licitações do tipo técnica e preço?,LLM,1,33082,33082_1,0.8857021927833557,3.0,True,True
124,É possível prorrogar um contrato administrativo fora do término do prazo de vigência?,LLM,3,31061,31061_0,0.8848241567611694,2.0,True,True
125,Qual é o problema na exigência de atestado de capacidade técnica para contratação de serviços advocatícios por conselho de fiscalização profissional?,LLM,1,105994,105994_0,0.8803246021270752,3.0,True,True
126,"É necessária reposição de importâncias indevidamente percebidas, de boa-fé, por servidores, em virtude de erro escusável de interpretação de lei por parte do órgão/entidade?",LLM,4,1846,1846_1,0.8518880605697632,3.0,True,True
127,É possível aquisição direta quando a falta de produto ou serviço pode colocar em risco a saúde das pessoas?,LLM,7,17137,17137_0,0.84486985206604,3.0,True,True
128,É obrigatória a divulgação dos preços estimados no edital nos pregões para aquisição de medicamentos?,LLM,1,14895,14895_0,0.8708583116531372,2.0,True,True
129,"A contratação de professores, conferencistas ou instrutores para ministrar cursos de treinamento ou aperfeiçoamento de pessoal se enquadra na inexigibilidade de licitação?",LLM,1,31507,31507_1,0.8702105283737183,3.0,True,True
130,Qual é a diferença entre reajuste de preços e repactuação?,LLM,1,17262,17262_1,0.8673923015594482,2.0,True,True
131,É possível a aplicação da recomposição mesmo após a aplicação do reajuste previsto no contrato?,LLM,1,42820,42820_3,0.8708620071411133,3.0,True,True
132,A retenção de pagamentos é permitida em caso de perda da regularidade fiscal?,LLM,1,18386,18386_0,0.8720762133598328,2.0,True,True
134,Como o vínculo trabalhista ou societário pré-existente afeta a competitividade das licitantes no certame licitatório?,LLM,4,26874,26874_0,0.8678091168403625,2.0,True,True
135,É permitido atribuir pontuação a uma empresa licitante nas licitações de técnica e preço com base na posse de determinados tipos de profissionais em seu quadro permanente?,LLM,1,22781,22781_0,0.8911606073379517,3.0,True,True
136,Um erro material deve levar à desclassificação antecipada da proposta?,LLM,5,18264,18264_0,0.8674325942993164,2.0,True,True
137,Há vedação à inclusão de novo documento destinado a atestar condição de habilitação preexistente em sede de diligência?,LLM,1,113541,113541_6,0.8687260746955872,3.0,True,True
138,A exigência de comprovação de quantitativos mínimos em obras ou serviços com características semelhantes é legal?,LLM,1,22780,22780_3,0.8867262601852417,3.0,True,True
139,Qual a extensão da sanção de impedimento de licitar e contratar?,LLM,3,68667,68667_2,0.8648395538330078,3.0,True,True
140,Quais documentos são exigidos para habilitação técnico-operacional em certames de obras e serviços de engenharia?,LLM,1,135758,135758_8,0.880240797996521,3.0,True,True
142,Em que situações a apresentação do alvará de funcionamento é permitida na habilitação jurídica?,LLM,1,40328,40328_1,0.8674169182777405,3.0,True,True
143,É permitida a acumulação do cargo de secretário municipal com o cargo de professor?,LLM,1,20797,20797_0,0.8755594491958618,3.0,True,True
144,A prescrição da pretensão punitiva do TCU afeta o julgamento das contas?,LLM,4,135564,135564_0,0.888685941696167,3.0,True,True
145,O Banco de Preços em Saúde é uma referência de preços válida para a aquisição de medicamentos?,LLM,1,20581,20581_0,0.8838841319084167,3.0,True,True
146,É possível a inclusão de serviços já previstos no edital em uma alteração contratual,LLM,9,18198,18198_0,0.842178463935852,2.0,True,True
147,O princípio da legalidade estrita pode ser afastado em favor de outros princípios no procedimento licitatório?,LLM,2,452,452_0,0.8607869148254395,3.0,True,True
148,Quais fontes devem ser prioritárias na pesquisa de preços para a renovação do contrato de serviços de natureza continuada?,LLM,3,43880,43880_5,0.8571826815605164,3.0,True,True
149,Devem ser aceitas nas contratações de software as cartas de exclusividade emitidas pelos próprios fabricantes?,LLM,1,64928,64928_2,0.8899352550506592,3.0,True,True
150,Qual é a regra geral para a contratação de entidade para prestação de serviços de assistência médica a servidores?,LLM,4,17892,17892_0,0.8588236570358276,3.0,True,True
