query_id,query,source,cobertura_qrel
94,prescrição da pretensão punitiva julgamento das contas,expression from LLM question,0.2
95,Banco de Preços em Saúde referência medicamentos,expression from LLM question,0.8
96,alteração contratual serviços já previstos no edital ,expression from LLM question,0.0
97,licitação princípio da legalidade estrita afastado,expression from LLM question,0.1
98,renovação de contrato serviços de natureza continuada pesquisa de preços,expression from LLM question,0.2
99,contratações de software cartas de exclusividade,expression from LLM question,0.2
100,assistência médica a servidores,expression from LLM question,0.3
101,Qual é a modalidade de licitação adequada para a concessão remunerada de uso de bens públicos?,LLM,0.2
102,A citação é considerada válida após o falecimento do responsável se a defesa já foi apresentada?,LLM,0.1
103,A prestação de garantia contratual é permitida juntamente com a exigência de patrimônio líquido mínimo?,LLM,0.6
104,A exigência de garantia de participação é permitida juntamente com a exigência de patrimônio líquido mínimo?,LLM,0.2
105,Quais são as consequências para os responsáveis que realizam despesas sem cobertura contratual?,LLM,0.1
106,O pregão é adequado para concessões de uso de áreas comerciais em aeroportos?,LLM,0.4
107,Quais normas devem ser observadas na cessão das áreas comerciais de centrais públicas de abastecimento de gêneros alimentícios?,LLM,0.2
108,É necessário exigir ao licitante comprovar que já forneceu bens pertinentes e compatíveis com o objeto da licitação?,LLM,0.0
109,"É permitido a extrapolar os limites estabelecidos no art. 65, §§ 1º e 2º, da Lei 8.666/1993 para alterações consensuais qualitativas de contratos de obras e serviços?",LLM,0.1
110,Qual a responsabilidade do gestor sucessor quando o gestor antecessor omitiu o dever de prestar contas?,LLM,0.5
111,Qual é a modalidade de licitação utilizada para contratar serviços técnicos necessários à estruturação de projeto de parceria público-privada relativo a infraestrutura de rede de iluminação pública?,LLM,0.2
112,O que acontece se não houver compatibilidade entre o objeto do certame e as atividades previstas no contrato social da empresa licitante?,LLM,0.4
113,Quem é responsável pela gestão dos recursos do Fundo Municipal de Saúde?,LLM,0.5
114,É obrigatória pesquisa de mercado na elaboração do orçamento-base da licitação?,LLM,0.4
115,A pesquisa de preços correntes no mercado é obrigatória em licitações?,LLM,0.3
116,O que fazer para verificar a vantajosidade da adesão à ata?,LLM,0.4
117,É permitida a compensação entre acréscimos e supressões nos contratos administrativos?,LLM,0.3
118,Quais são as condições para que o restabelecimento total ou parcial de quantitativo de item anteriormente suprimido por aditivo contratual não configure compensação vedada pela jurisprudência do TCU?,LLM,0.3
119,A Administração pode indicar preferência por marcas em licitações para aquisição de cartuchos de tinta?,LLM,0.5
120,O TCU é responsável pela fiscalização das ações e serviços de saúde pagos com recursos repassados pela União no âmbito do Sistema Único de Saúde?,LLM,0.2
121,O que deve ser feito se não for possível obter preços referenciais nos sistemas oficiais para estimativa de custos em processos licitatórios?,LLM,0.3
122,É necessária ponderação entre a pontuação técnica e a de preço em uma licitação do tipo técnica e preço?,LLM,0.5
123,Como a pontuação desarrazoada pode limitar a competitividade nas licitações do tipo técnica e preço?,LLM,0.2
124,É possível prorrogar um contrato administrativo fora do término do prazo de vigência?,LLM,0.2
125,Qual é o problema na exigência de atestado de capacidade técnica para contratação de serviços advocatícios por conselho de fiscalização profissional?,LLM,0.2
126,"É necessária reposição de importâncias indevidamente percebidas, de boa-fé, por servidores, em virtude de erro escusável de interpretação de lei por parte do órgão/entidade?",LLM,0.4
127,É possível aquisição direta quando a falta de produto ou serviço pode colocar em risco a saúde das pessoas?,LLM,0.2
128,É obrigatória a divulgação dos preços estimados no edital nos pregões para aquisição de medicamentos?,LLM,0.5
129,"A contratação de professores, conferencistas ou instrutores para ministrar cursos de treinamento ou aperfeiçoamento de pessoal se enquadra na inexigibilidade de licitação?",LLM,0.3
130,Qual é a diferença entre reajuste de preços e repactuação?,LLM,0.4
131,É possível a aplicação da recomposição mesmo após a aplicação do reajuste previsto no contrato?,LLM,0.3
132,A retenção de pagamentos é permitida em caso de perda da regularidade fiscal?,LLM,0.2
133,Por que despesas desnecessárias e anteriores à celebração do contrato são consideradas irregulares?,LLM,0.0
134,Como o vínculo trabalhista ou societário pré-existente afeta a competitividade das licitantes no certame licitatório?,LLM,0.4
135,É permitido atribuir pontuação a uma empresa licitante nas licitações de técnica e preço com base na posse de determinados tipos de profissionais em seu quadro permanente?,LLM,0.4
136,Um erro material deve levar à desclassificação antecipada da proposta?,LLM,0.1
137,Há vedação à inclusão de novo documento destinado a atestar condição de habilitação preexistente em sede de diligência?,LLM,0.2
138,A exigência de comprovação de quantitativos mínimos em obras ou serviços com características semelhantes é legal?,LLM,0.3
139,Qual a extensão da sanção de impedimento de licitar e contratar?,LLM,0.3
140,Quais documentos são exigidos para habilitação técnico-operacional em certames de obras e serviços de engenharia?,LLM,0.2
141,Qual a finalidade do controle das autorizações de adesão?,LLM,0.0
142,Em que situações a apresentação do alvará de funcionamento é permitida na habilitação jurídica?,LLM,0.2
143,É permitida a acumulação do cargo de secretário municipal com o cargo de professor?,LLM,0.3
144,A prescrição da pretensão punitiva do TCU afeta o julgamento das contas?,LLM,0.2
145,O Banco de Preços em Saúde é uma referência de preços válida para a aquisição de medicamentos?,LLM,0.8
146,É possível a inclusão de serviços já previstos no edital em uma alteração contratual,LLM,0.1
147,O princípio da legalidade estrita pode ser afastado em favor de outros princípios no procedimento licitatório?,LLM,0.1
148,Quais fontes devem ser prioritárias na pesquisa de preços para a renovação do contrato de serviços de natureza continuada?,LLM,0.4
149,Devem ser aceitas nas contratações de software as cartas de exclusividade emitidas pelos próprios fabricantes?,LLM,0.5
150,Qual é a regra geral para a contratação de entidade para prestação de serviços de assistência médica a servidores?,LLM,0.5
