query_id,source,pergunta,p_at_10,r_at_10,mrr_at_10,ndcg_at_10,judged_at_10,julgados_top10,relevantes_top10,sementes_top10,novos_grafo_top10,latencia_segundos
65,expression from LLM question,pesquisa de preços obrigatória em licitações,0.2,0.14285714285714285,0.5,0.2468086196975095,0.2,2,2,8,2,0.2380713000002288
66,expression from LLM question,vantajosidade adesão à ata,0.1,0.1,0.1111111111111111,0.06875374781295601,0.1,1,1,10,0,0.21138563600015914
67,expression from LLM question,compensação entre acréscimos e supressões contratos administrativos,0.3,0.3,1.0,0.45374257454118544,0.3,3,3,8,2,0.18935136900017824
68,expression from LLM question,vedado restabelecimento item suprimido,0.1,0.16666666666666666,1.0,0.7523106976437837,0.1,1,1,10,0,0.23488918200018816
69,expression from LLM question,marca aquisição cartuchos,0.5,0.4166666666666667,1.0,0.6380458409830841,0.5,5,5,9,1,0.231990993999716
70,expression from LLM question,SUS recursos União competência do TCU,0.2,0.15384615384615385,0.16666666666666666,0.15010969062379972,0.2,2,2,7,3,0.20980568499999208
71,expression from LLM question,preços referenciais sistemas oficiais estimativa de custos,0.3,0.2,1.0,0.3208328220561836,0.3,3,3,7,3,0.2082092440004999
72,expression from LLM question,ponderação técnica e preço,0.6,0.5,1.0,0.7036297341167596,0.6,6,6,7,3,0.22939109599974472
73,expression from LLM question,pontuação desarrazoada licitações técnica e preço,0.4,0.3076923076923077,1.0,0.4627043206664421,0.4,4,4,8,2,0.20358932900035143
74,expression from LLM question,prorrogação de contrato administrativo término prazo de vigência,0.5,0.5,1.0,0.6457072009504028,0.5,5,5,8,2,0.2246827419994588
75,expression from LLM question,atestado de capacidade técnica serviços advocatícios conselho de fiscalização profissional,0.3,0.25,0.5,0.18746149379461172,0.3,3,3,5,5,0.2138411449996056
76,expression from LLM question,reposição de importâncias indevidamente percebidas boa-fé servidores erro escusável por órgão/entidade,0.5,0.4166666666666667,1.0,0.6089321523881239,0.5,5,5,7,3,0.23507995199997822
77,expression from LLM question,aquisição direta risco a saúde,0.0,0.0,0.0,0.0,0.0,0,0,9,1,0.21742920199994842
78,expression from LLM question,pregão divulgação dos preços estimados no edital,0.7,0.5384615384615384,0.5,0.6561878214600948,0.7,7,7,8,2,0.21674312999948597
79,expression from LLM question,instrutor treinamento inexigibilidade de licitação,0.3,0.23076923076923078,1.0,0.6596602960387131,0.3,3,3,6,4,0.20892153600016172
80,expression from LLM question,reajuste de preços e repactuação,0.4,0.2857142857142857,1.0,0.5520277599098254,0.4,4,4,9,1,0.18221704300049169
81,expression from LLM question,recomposição reajuste,0.3,0.21428571428571427,1.0,0.7257248483690127,0.3,3,3,6,4,0.20122270499996375
82,expression from LLM question,retenção de pagamentos perda da regularidade fiscal,0.2,0.2222222222222222,1.0,0.4805501584107421,0.2,2,2,8,2,0.20149545700041926
83,expression from LLM question,irregulares despesas desnecessárias e anteriores à celebração do contrato,0.0,0.0,0.0,0.0,0.0,0,0,9,1,0.229826968999987
84,expression from LLM question,vínculo trabalhista ou societário pré-existente competitividade das licitantes,0.3,0.25,1.0,0.39338719323586024,0.3,3,3,7,3,0.21571071699963795
85,expression from LLM question,técnica e preço profissionais quadro permanente,0.1,0.07692307692307693,0.14285714285714285,0.10814351215993738,0.1,1,1,7,3,0.22696511600042868
86,expression from LLM question,erro material desclassificação da proposta,0.1,0.07692307692307693,0.125,0.03524833445498145,0.1,1,1,9,1,0.21520651599985285
87,expression from LLM question,vedação à inclusão documento habilitação diligência,0.1,0.08333333333333333,0.3333333333333333,0.18455830614100704,0.1,1,1,7,3,0.22300285999972402
88,expression from LLM question,exigência comprovação de quantitativos mínimos características semelhantes,0.2,0.15384615384615385,1.0,0.39107101826816154,0.2,2,2,9,1,0.22075967599994328
89,expression from LLM question,extensão sanção de impedimento de licitar e contratar,0.4,0.3333333333333333,0.5,0.31615134225259733,0.4,4,4,6,4,0.20896815699961735
90,expression from LLM question,habilitação técnico-operacional obras e serviços de engenharia,0.3,0.2,1.0,0.6500494536019111,0.3,3,3,6,4,0.2192763789998935
91,expression from LLM question,controle adesão,0.3,0.25,0.5,0.14810997515834964,0.3,3,3,7,3,0.18598298400047497
92,expression from LLM question,alvará de funcionamento habilitação jurídica,0.2,0.18181818181818182,1.0,0.7447586667708298,0.2,2,2,8,2,0.20679116999963298
93,expression from LLM question,acumulação de cargo secretário municipal professor,0.5,0.4166666666666667,1.0,0.7874074094732795,0.5,5,5,8,2,0.22367442799986748
94,expression from LLM question,prescrição da pretensão punitiva julgamento das contas,0.3,0.21428571428571427,0.5,0.16873208203689982,0.3,3,3,7,3,0.23559269500037772
95,expression from LLM question,Banco de Preços em Saúde referência medicamentos,0.9,0.8181818181818182,1.0,0.8989103076425626,0.9,9,9,9,1,0.23903003300074488
96,expression from LLM question,alteração contratual serviços já previstos no edital ,0.1,0.07692307692307693,0.1111111111111111,0.059598523500867334,0.1,1,1,7,3,0.19574110599933192
97,expression from LLM question,licitação princípio da legalidade estrita afastado,0.1,0.08333333333333333,0.25,0.23542657549514195,0.1,1,1,9,1,0.21500158699927852
98,expression from LLM question,renovação de contrato serviços de natureza continuada pesquisa de preços,0.2,0.15384615384615385,1.0,0.14809235967518863,0.2,2,2,7,3,0.20115033799993398
99,expression from LLM question,contratações de software cartas de exclusividade,0.2,0.16666666666666666,0.3333333333333333,0.3410138425426461,0.2,2,2,7,3,0.23460547300055623
100,expression from LLM question,assistência médica a servidores,0.5,0.45454545454545453,1.0,0.4924159029610229,0.5,5,5,8,2,0.18442033599967544
101,LLM,Qual é a modalidade de licitação adequada para a concessão remunerada de uso de bens públicos?,0.2,0.2,0.3333333333333333,0.24805004046518248,0.2,2,2,9,1,0.18879770600051415
102,LLM,A citação é considerada válida após o falecimento do responsável se a defesa já foi apresentada?,0.1,0.08333333333333333,0.2,0.09608631897566594,0.1,1,1,8,2,0.22249921900038316
103,LLM,A prestação de garantia contratual é permitida juntamente com a exigência de patrimônio líquido mínimo?,0.6,0.6,1.0,0.7222954974312066,0.6,6,6,9,1,0.22586746300021332
104,LLM,A exigência de garantia de participação é permitida juntamente com a exigência de patrimônio líquido mínimo?,0.3,0.2727272727272727,1.0,0.36885567213865283,0.3,3,3,9,1,0.2045912129997305
105,LLM,Quais são as consequências para os responsáveis que realizam despesas sem cobertura contratual?,0.2,0.18181818181818182,0.125,0.09413517001934707,0.2,2,2,9,1,0.20909455200035154
106,LLM,O pregão é adequado para concessões de uso de áreas comerciais em aeroportos?,0.6,0.46153846153846156,1.0,0.8275285216140622,0.6,6,6,8,2,0.22070161800002097
107,LLM,Quais normas devem ser observadas na cessão das áreas comerciais de centrais públicas de abastecimento de gêneros alimentícios?,0.3,0.375,1.0,0.6713311735881057,0.3,3,3,7,3,0.195152926999981
108,LLM,É necessário exigir ao licitante comprovar que já forneceu bens pertinentes e compatíveis com o objeto da licitação?,0.0,0.0,0.0,0.0,0.0,0,0,7,3,0.21281118300066737
109,LLM,"É permitido a extrapolar os limites estabelecidos no art. 65, §§ 1º e 2º, da Lei 8.666/1993 para alterações consensuais qualitativas de contratos de obras e serviços?",0.1,0.07142857142857142,0.3333333333333333,0.1303570060893872,0.1,1,1,7,3,0.20980353400045715
110,LLM,Qual a responsabilidade do gestor sucessor quando o gestor antecessor omitiu o dever de prestar contas?,0.6,0.5,1.0,0.6478837783744075,0.6,6,6,7,3,0.21701389100053348
111,LLM,Qual é a modalidade de licitação utilizada para contratar serviços técnicos necessários à estruturação de projeto de parceria público-privada relativo a infraestrutura de rede de iluminação pública?,0.2,0.18181818181818182,0.25,0.24665247237225976,0.2,2,2,9,1,0.24243344099977548
112,LLM,O que acontece se não houver compatibilidade entre o objeto do certame e as atividades previstas no contrato social da empresa licitante?,0.4,0.4,0.25,0.242171732401196,0.4,4,4,8,2,0.32580776499980857
113,LLM,Quem é responsável pela gestão dos recursos do Fundo Municipal de Saúde?,0.5,0.35714285714285715,1.0,0.4969048648610769,0.5,5,5,8,2,0.3059261640000841
114,LLM,É obrigatória pesquisa de mercado na elaboração do orçamento-base da licitação?,0.4,0.3076923076923077,1.0,0.45543113835850735,0.4,4,4,7,3,0.2342632150002828
115,LLM,A pesquisa de preços correntes no mercado é obrigatória em licitações?,0.3,0.2,1.0,0.5915490573265824,0.3,3,3,7,3,0.23767210400001204
116,LLM,O que fazer para verificar a vantajosidade da adesão à ata?,0.5,0.45454545454545453,0.5,0.48188093557966827,0.5,5,5,8,2,0.2579660339997645
117,LLM,É permitida a compensação entre acréscimos e supressões nos contratos administrativos?,0.5,0.45454545454545453,0.5,0.4294789330041775,0.5,5,5,7,3,0.2147468299999673
118,LLM,Quais são as condições para que o restabelecimento total ou parcial de quantitativo de item anteriormente suprimido por aditivo contratual não configure compensação vedada pela jurisprudência do TCU?,0.5,0.5,1.0,0.7976236458959763,0.5,5,5,7,3,0.22136873500039655
119,LLM,A Administração pode indicar preferência por marcas em licitações para aquisição de cartuchos de tinta?,0.4,0.3333333333333333,1.0,0.5185122427552843,0.4,4,4,9,1,0.23334926500047004
120,LLM,O TCU é responsável pela fiscalização das ações e serviços de saúde pagos com recursos repassados pela União no âmbito do Sistema Único de Saúde?,0.2,0.16666666666666666,1.0,0.30975094929950286,0.2,2,2,8,2,0.1965632130004451
121,LLM,O que deve ser feito se não for possível obter preços referenciais nos sistemas oficiais para estimativa de custos em processos licitatórios?,0.4,0.3076923076923077,1.0,0.5521799222672773,0.4,4,4,6,4,0.24177393299942196
122,LLM,É necessária ponderação entre a pontuação técnica e a de preço em uma licitação do tipo técnica e preço?,0.5,0.45454545454545453,1.0,0.6168295842361273,0.5,5,5,10,0,0.24988654299977497
123,LLM,Como a pontuação desarrazoada pode limitar a competitividade nas licitações do tipo técnica e preço?,0.4,0.3076923076923077,0.25,0.3352811236922249,0.4,4,4,6,4,0.20638866200079065
124,LLM,É possível prorrogar um contrato administrativo fora do término do prazo de vigência?,0.2,0.18181818181818182,0.3333333333333333,0.11286216616191151,0.2,2,2,8,2,0.17391954100003204
125,LLM,Qual é o problema na exigência de atestado de capacidade técnica para contratação de serviços advocatícios por conselho de fiscalização profissional?,0.2,0.16666666666666666,0.2,0.11526552284847946,0.2,2,2,7,3,0.21974551300081657
126,LLM,"É necessária reposição de importâncias indevidamente percebidas, de boa-fé, por servidores, em virtude de erro escusável de interpretação de lei por parte do órgão/entidade?",0.4,0.36363636363636365,1.0,0.48864468918810133,0.4,4,4,8,2,0.22262231100012286
127,LLM,É possível aquisição direta quando a falta de produto ou serviço pode colocar em risco a saúde das pessoas?,0.2,0.16666666666666666,0.3333333333333333,0.13791638268873777,0.2,2,2,7,3,0.22796301400012453
128,LLM,É obrigatória a divulgação dos preços estimados no edital nos pregões para aquisição de medicamentos?,0.6,0.5454545454545454,0.5,0.5027799337471085,0.6,6,6,7,3,0.24641131199950905
129,LLM,"A contratação de professores, conferencistas ou instrutores para ministrar cursos de treinamento ou aperfeiçoamento de pessoal se enquadra na inexigibilidade de licitação?",0.4,0.4,1.0,0.7041027019743363,0.4,4,4,6,4,0.2240273649995288
130,LLM,Qual é a diferença entre reajuste de preços e repactuação?,0.5,0.5,1.0,0.5086251709508762,0.5,5,5,9,1,0.19237226200039004
131,LLM,É possível a aplicação da recomposição mesmo após a aplicação do reajuste previsto no contrato?,0.2,0.2,1.0,0.53362847997678,0.2,2,2,7,3,0.18240935299945704
132,LLM,A retenção de pagamentos é permitida em caso de perda da regularidade fiscal?,0.3,0.3333333333333333,0.5,0.4957971859809088,0.3,3,3,8,2,0.19512146700071753
133,LLM,Por que despesas desnecessárias e anteriores à celebração do contrato são consideradas irregulares?,0.0,0.0,0.0,0.0,0.0,0,0,9,1,0.24268630300048244
134,LLM,Como o vínculo trabalhista ou societário pré-existente afeta a competitividade das licitantes no certame licitatório?,0.4,0.3333333333333333,1.0,0.45170139427635475,0.4,4,4,7,3,0.23017847099981736
135,LLM,É permitido atribuir pontuação a uma empresa licitante nas licitações de técnica e preço com base na posse de determinados tipos de profissionais em seu quadro permanente?,0.4,0.3333333333333333,1.0,0.5203071469456637,0.4,4,4,6,4,0.23176544699981605
136,LLM,Um erro material deve levar à desclassificação antecipada da proposta?,0.0,0.0,0.0,0.0,0.0,0,0,8,2,0.2162514450001254
137,LLM,Há vedação à inclusão de novo documento destinado a atestar condição de habilitação preexistente em sede de diligência?,0.2,0.18181818181818182,0.5,0.33967805290594244,0.2,2,2,9,1,0.21353249899948423
138,LLM,A exigência de comprovação de quantitativos mínimos em obras ou serviços com características semelhantes é legal?,0.4,0.3333333333333333,1.0,0.5326208815196265,0.4,4,4,6,4,0.22765042199989693
139,LLM,Qual a extensão da sanção de impedimento de licitar e contratar?,0.4,0.4,0.5,0.3720414094712752,0.4,4,4,7,3,0.21879405100025906
140,LLM,Quais documentos são exigidos para habilitação técnico-operacional em certames de obras e serviços de engenharia?,0.2,0.16666666666666666,1.0,0.5611931608107448,0.2,2,2,8,2,0.21199322600023152
141,LLM,Qual a finalidade do controle das autorizações de adesão?,0.0,0.0,0.0,0.0,0.0,0,0,7,3,0.19846859800054517
142,LLM,Em que situações a apresentação do alvará de funcionamento é permitida na habilitação jurídica?,0.2,0.3333333333333333,1.0,0.8102420089100565,0.2,2,2,9,1,0.22448849900047207
143,LLM,É permitida a acumulação do cargo de secretário municipal com o cargo de professor?,0.5,0.45454545454545453,1.0,0.6761249993747668,0.5,5,5,7,3,0.20196086500072852
144,LLM,A prescrição da pretensão punitiva do TCU afeta o julgamento das contas?,0.1,0.07692307692307693,0.1111111111111111,0.07803762576754572,0.1,1,1,7,3,0.22738367900001322
145,LLM,O Banco de Preços em Saúde é uma referência de preços válida para a aquisição de medicamentos?,0.9,0.8181818181818182,1.0,0.910158287507954,0.9,9,9,8,2,0.23661486199944193
146,LLM,É possível a inclusão de serviços já previstos no edital em uma alteração contratual,0.1,0.08333333333333333,0.2,0.06582608001601603,0.1,1,1,7,3,0.1983135239997864
147,LLM,O princípio da legalidade estrita pode ser afastado em favor de outros princípios no procedimento licitatório?,0.1,0.07142857142857142,0.25,0.18326117976876424,0.1,1,1,9,1,0.23955508899962297
148,LLM,Quais fontes devem ser prioritárias na pesquisa de preços para a renovação do contrato de serviços de natureza continuada?,0.6,0.46153846153846156,0.5,0.4600680526017979,0.6,6,6,7,3,0.21460984999976063
149,LLM,Devem ser aceitas nas contratações de software as cartas de exclusividade emitidas pelos próprios fabricantes?,0.4,0.3333333333333333,1.0,0.6704672946962369,0.4,4,4,6,4,0.2918294529999912
150,LLM,Qual é a regra geral para a contratação de entidade para prestação de serviços de assistência médica a servidores?,0.6,0.5454545454545454,0.3333333333333333,0.44221766281275543,0.6,6,6,8,2,0.21444703599991044
